corruption,protocol,failure_mean,failure_ci95_halfwidth,false_block_mean
0,model_monitor,0.31725566145810224,0.0020971064077852,0.0
0,deterministic,0.0,0.0,0.0
0,halo_redundant,0.0,0.0,0.0
0.01,model_monitor,0.32070646628447264,0.0020356404230993754,0.0046325851991911885
0.01,deterministic,0.00857782529643958,0.0005547209698061512,0.007500354149766747
0.01,halo_redundant,7.981929359856965e-05,5.903557348268128e-05,0.014582209329164729
0.02,model_monitor,0.3238032605533049,0.0022248637075813647,0.009196651456627264
0.02,deterministic,0.016553973728561,0.0007612439803636481,0.014946051083766137
0.02,halo_redundant,0.00037349284489730957,9.837817399528617e-05,0.028740145638416648
0.05,model_monitor,0.33331708807458776,0.0026949036083574562,0.023151825334157935
0.05,deterministic,0.03990793824342505,0.0010844305387270356,0.03710225880008279
0.05,halo_redundant,0.001961979439860665,0.00023570586239177562,0.06913747294745523
0.1,model_monitor,0.3474272097407689,0.002360835830593298,0.04570799984551796
0.1,deterministic,0.07639506903167766,0.0015979552707841617,0.07215886714105595
0.1,halo_redundant,0.006941275302185894,0.000579802104084216,0.128043140535175
0.2,model_monitor,0.3775065836773397,0.0025706797093305433,0.0892390192833781
0.2,deterministic,0.14052785976470775,0.002447854371483263,0.13595406437470028
0.2,halo_redundant,0.021536309691638455,0.0006992877375660791,0.22123544242682214
