rho,protocol,containment_failure_rate,false_block_rate
0.0,redundant_fail_closed,0.001871256025508511,0.06948529553740994
0.0,single_source,0.03949809092054075,0.036409928395048204
0.25,redundant_fail_closed,0.010927240482538365,0.06139627938048611
0.25,single_source,0.03962202799065499,0.036480869755099087
0.5,redundant_fail_closed,0.020142641008368784,0.05310351353784929
0.5,single_source,0.03965117672459839,0.03644542422935119
0.75,redundant_fail_closed,0.029576081270777075,0.044882213975875926
0.75,single_source,0.039515544732710024,0.03646884963125785
1.0,redundant_fail_closed,0.039554880135031875,0.03645436789479039
1.0,single_source,0.039554880135031875,0.03645436789479039
