p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.01,0.0,0,-0.0003097099928585945,0.01005,0.01026,0.01025
0.01,0.0,1,-0.0012175440805286403,0.00994,0.01028,0.01034
0.01,0.0,2,-0.0017149919312850403,0.01032,0.00937,0.00939
0.01,0.0,3,0.0029250523722421902,0.00952,0.0106,0.01009
0.01,0.0,4,0.0007673152821984863,0.0094,0.00986,0.01001
0.01,0.0,5,-0.0024362514739945584,0.00956,0.00976,0.00981
0.01,0.0,6,0.00197695245106653,0.00992,0.01012,0.00959
0.01,0.0,7,0.003233824897641834,0.00954,0.0103,0.01023
0.01,0.0,8,-0.0011620818158110484,0.01042,0.00975,0.00993
0.01,0.0,9,-0.0025765635518046827,0.01023,0.01039,0.00983
0.01,0.0,10,0.0034533972179384797,0.00972,0.00992,0.01028
0.01,0.0,11,-0.001985473164190348,0.0097,0.01027,0.00997
0.01,0.0,12,-0.0003063533623124679,0.00957,0.00971,0.01002
0.01,0.0,13,0.0036930214991286307,0.01022,0.01007,0.00988
0.01,0.0,14,-0.007031550371250029,0.01028,0.00967,0.01027
0.01,0.0,15,0.0054191869258069115,0.00983,0.00988,0.00964
0.01,0.0,16,-0.006177505770276092,0.01048,0.0097,0.01081
0.01,0.0,17,-0.0011719996494940796,0.01,0.01017,0.00978
0.01,0.0,18,0.0008623118969178061,0.01004,0.0101,0.01014
0.01,0.0,19,-0.003423669568318356,0.01053,0.00994,0.00965
0.01,0.0,20,-0.0017637167900027791,0.00989,0.00983,0.00953
0.01,0.0,21,0.002214086235568702,0.00972,0.01011,0.00988
0.01,0.0,22,0.002662605645426756,0.01021,0.01011,0.01025
0.01,0.0,23,0.0003750956685807234,0.01017,0.01044,0.01027
0.01,0.0,24,-0.0003703514352327944,0.01021,0.01016,0.00972
0.01,0.0,25,0.0028352703841369935,0.00998,0.01019,0.01056
0.01,0.0,26,-0.0018025383211185257,0.01073,0.01012,0.0099
0.01,0.0,27,0.0025972655649518874,0.01002,0.01036,0.01023
0.01,0.0,28,0.001788601019888282,0.01015,0.01006,0.01018
0.01,0.0,29,0.00271681870565041,0.01042,0.00986,0.01018
0.01,0.25,0,0.2527815230737464,0.01009,0.01019,0.01025
0.01,0.25,1,0.25839658434718343,0.01012,0.01026,0.01034
0.01,0.25,2,0.25274444172649907,0.01027,0.00929,0.00939
0.01,0.25,3,0.2265646654260939,0.00942,0.01007,0.01009
0.01,0.25,4,0.26246343566344976,0.00967,0.00991,0.01001
0.01,0.25,5,0.2410455407245446,0.00948,0.00969,0.00981
0.01,0.25,6,0.25620919261224545,0.00996,0.01029,0.00959
0.01,0.25,7,0.24698163244050222,0.00962,0.01004,0.01023
0.01,0.25,8,0.2449580171837797,0.01029,0.00983,0.00993
0.01,0.25,9,0.2551354184844896,0.01056,0.01058,0.00983
0.01,0.25,10,0.26769895627665197,0.01012,0.00995,0.01028
0.01,0.25,11,0.26489485568696663,0.01026,0.01051,0.00997
0.01,0.25,12,0.26284789828008687,0.00967,0.00981,0.01002
0.01,0.25,13,0.25913156076778493,0.01036,0.01033,0.00988
0.01,0.25,14,0.24410256825877039,0.00995,0.00954,0.01027
0.01,0.25,15,0.28694522739316264,0.01016,0.0103,0.00964
0.01,0.25,16,0.23751238651990964,0.01051,0.00958,0.01081
0.01,0.25,17,0.25295097865240485,0.00982,0.01,0.00978
0.01,0.25,18,0.28073122442577236,0.01035,0.0104,0.01014
0.01,0.25,19,0.2625956961570738,0.01044,0.01007,0.00965
0.01,0.25,20,0.24919428159940288,0.00992,0.0098,0.00953
0.01,0.25,21,0.23631542321888566,0.00961,0.01,0.00988
