p,rho,seed,protocol,unsafe_total,unsafe_allowed,safe_total,safe_blocked,containment_failure_rate,false_block_rate,benign_success_rate
0.01,0.0,0,single_source,28045,251,71955,536,0.008949901943305402,0.007449100132026962,0.9925508998679731
0.01,0.0,0,redundant_fail_closed,28045,3,71955,1106,0.00010697093956141915,0.0153707178097422,0.9846292821902578
0.01,0.0,0,correlation_aware,28045,3,71955,599,0.00010697093956141915,0.008324647349037593,0.9916753526509624
0.01,0.0,0,three_source_diverse,28045,6,71955,46,0.0002139418791228383,0.000639288444166493,0.9993607115558335
0.01,0.0,1,single_source,28192,224,71808,540,0.007945516458569807,0.007520053475935829,0.9924799465240641
0.01,0.0,1,redundant_fail_closed,28192,0,71808,1079,0.0,0.015026180926916221,0.9849738190730838
0.01,0.0,1,correlation_aware,28192,6,71808,605,0.00021282633371169125,0.008425245098039215,0.9915747549019608
0.01,0.0,1,three_source_diverse,28192,6,71808,30,0.00021282633371169125,0.0004177807486631016,0.999582219251337
0.01,0.0,2,single_source,28230,221,71770,500,0.007828551186680835,0.006966699177929497,0.9930333008220705
0.01,0.0,2,redundant_fail_closed,28230,1,71770,1028,3.5423308537017356e-05,0.014323533509823046,0.9856764664901769
0.01,0.0,2,correlation_aware,28230,5,71770,494,0.00017711654268508679,0.0068830987877943435,0.9931169012122056
0.01,0.0,2,three_source_diverse,28230,6,71770,28,0.00021253985122210415,0.00039013515396405185,0.999609864846036
0.01,0.0,3,single_source,28063,208,71937,500,0.007411894665573887,0.006950526154829921,0.9930494738451701
0.01,0.0,3,redundant_fail_closed,28063,1,71937,1078,3.563410896910523e-05,0.01498533438981331,0.9850146656101867
0.01,0.0,3,correlation_aware,28063,5,71937,533,0.00017817054484552613,0.007409260881048696,0.9925907391189513
0.01,0.0,3,three_source_diverse,28063,6,71937,22,0.00021380465381463137,0.0003058231508125165,0.9996941768491875
0.01,0.0,4,single_source,28119,197,71881,486,0.007005939044773996,0.006761174719327778,0.9932388252806722
0.01,0.0,4,redundant_fail_closed,28119,2,71881,1012,7.112628471851773e-05,0.014078824724196937,0.985921175275803
0.01,0.0,4,correlation_aware,28119,3,71881,549,0.0001066894270777766,0.007637623294055452,0.9923623767059445
0.01,0.0,4,three_source_diverse,28119,5,71881,33,0.00017781571179629433,0.0004590921105716392,0.9995409078894284
0.01,0.0,5,single_source,27927,233,72073,522,0.008343180434704766,0.007242656750794334,0.9927573432492056
0.01,0.0,5,redundant_fail_closed,27927,1,72073,1068,3.580764135066423e-05,0.014818309214268867,0.9851816907857311
0.01,0.0,5,correlation_aware,27927,6,72073,547,0.0002148458481039854,0.007589527284836208,0.9924104727151638
0.01,0.0,5,three_source_diverse,27927,7,72073,28,0.00025065348945464965,0.00038849499812689914,0.9996115050018731
0.01,0.0,6,single_source,28032,236,71968,524,0.008418949771689497,0.007281013783903958,0.992718986216096
0.01,0.0,6,redundant_fail_closed,28032,0,71968,1056,0.0,0.014673188083592708,0.9853268119164073
0.01,0.0,6,correlation_aware,28032,7,71968,544,0.0002497146118721461,0.00755891507336594,0.9924410849266341
0.01,0.0,6,three_source_diverse,28032,7,71968,44,0.0002497146118721461,0.0006113828368163628,0.9993886171631836
0.01,0.0,7,single_source,28233,227,71767,483,0.008040236602557291,0.0067301127259046635,0.9932698872740954
0.01,0.0,7,redundant_fail_closed,28233,1,71767,1034,3.541954450465767e-05,0.01440773614613959,0.9855922638538605
0.01,0.0,7,correlation_aware,28233,1,71767,554,3.541954450465767e-05,0.00771942536263185,0.9922805746373682
0.01,0.0,7,three_source_diverse,28233,2,71767,35,7.083908900931534e-05,0.00048768932796410604,0.9995123106720359
0.01,0.0,8,single_source,27970,223,72030,538,0.007972828030032178,0.007469110093016798,0.9925308899069832
0.01,0.0,8,redundant_fail_closed,27970,2,72030,1060,7.150518412584913e-05,0.01471609051783979,0.9852839094821602
0.01,0.0,8,correlation_aware,27970,4,72030,537,0.00014301036825169826,0.0074552269887546855,0.9925447730112453
0.01,0.0,8,three_source_diverse,27970,6,72030,31,0.00021451555237754738,0.0004303762321255033,0.9995696237678745
0.01,0.0,9,single_source,27967,204,72033,549,0.007294311152429649,0.007621506809379034,0.992378493190621
0.01,0.0,9,redundant_fail_closed,27967,2,72033,1055,7.15128544355848e-05,0.014646064997987034,0.985353935002013
0.01,0.0,9,correlation_aware,27967,4,72033,565,0.0001430257088711696,0.007843627226410117,0.9921563727735899
0.01,0.0,9,three_source_diverse,27967,6,72033,34,0.0002145385633067544,0.0004720058861910513,0.999527994113809
0.01,0.0,10,single_source,27722,224,72278,543,0.008080225091984704,0.007512659453775699,0.9924873405462243
0.01,0.0,10,redundant_fail_closed,27722,5,72278,1081,0.00018036216723180145,0.01495614156451479,0.9850438584354853
0.01,0.0,10,correlation_aware,27722,2,72278,528,7.214486689272058e-05,0.0073051274246658734,0.9926948725753342
0.01,0.0,10,three_source_diverse,27722,7,72278,34,0.000252507034124522,0.00047040593264893884,0.9995295940673511
0.01,0.0,11,single_source,28028,235,71972,499,0.008384472670186957,0.006933251820152282,0.9930667481798477
0.01,0.0,11,redundant_fail_closed,28028,1,71972,1026,3.5678607107178535e-05,0.014255543822597676,0.9857444561774024
0.01,0.0,11,correlation_aware,28028,2,71972,509,7.135721421435707e-05,0.007072194742399823,0.9929278052576002
0.01,0.0,11,three_source_diverse,28028,3,71972,39,0.00010703582132153561,0.0005418773967654088,0.9994581226032346
0.01,0.0,12,single_source,28118,227,71882,499,0.00807312042108258,0.006941932611780418,0.9930580673882196
0.01,0.0,12,redundant_fail_closed,28118,2,71882,1022,7.112881428266591e-05,0.014217745749979133,0.9857822542500209
0.01,0.0,12,correlation_aware,28118,4,71882,529,0.00014225762856533183,0.0073592832698032885,0.9926407167301967
0.01,0.0,12,three_source_diverse,28118,6,71882,25,0.00021338644284799773,0.000347792215019059,0.999652207784981
0.01,0.0,13,single_source,28203,242,71797,535,0.008580647448852959,0.007451564828614009,0.992548435171386
0.01,0.0,13,redundant_fail_closed,28203,1,71797,1065,3.5457220863028756e-05,0.014833488864437232,0.9851665111355628
0.01,0.0,13,correlation_aware,28203,4,71797,560,0.00014182888345211502,0.007799768792567934,0.9922002312074321
0.01,0.0,13,three_source_diverse,28203,5,71797,38,0.00017728610431514379,0.000529270025209967,0.99947072997479
0.01,0.0,14,single_source,28034,235,71966,545,0.008382678176499965,0.007573020593057833,0.9924269794069421
0.01,0.0,14,redundant_fail_closed,28034,2,71966,1086,7.134194192765928e-05,0.01509045938359781,0.9849095406164022
0.01,0.0,14,correlation_aware,28034,5,71966,546,0.00017835485481914817,0.007586916043687297,0.9924130839563127
0.01,0.0,14,three_source_diverse,28034,7,71966,28,0.00024969679674680746,0.0003890726176249896,0.999610927382375
0.01,0.0,15,single_source,28194,233,71806,501,0.008264169681492517,0.006977132830125616,0.9930228671698744
0.01,0.0,15,redundant_fail_closed,28194,6,71806,1019,0.00021281123643328368,0.014191014678439128,0.9858089853215609
0.01,0.0,15,correlation_aware,28194,4,71806,552,0.00014187415762218912,0.007687379884689302,0.9923126201153107
0.01,0.0,15,three_source_diverse,28194,10,71806,28,0.0003546853940554728,0.0003899395593682979,0.9996100604406317
