p,rho,protocol,metric,mean,ci95_halfwidth,n_seeds
0.01,0.0,correlation_aware,containment_failure_rate,0.00016633548323705737,3.106633091186889e-05,30
0.01,0.0,correlation_aware,false_block_rate,0.0076431887601437305,0.00012390427051368113,30
0.01,0.0,correlation_aware,benign_success_rate,0.9923568112398563,0.00012390427051367912,30
0.01,0.0,redundant_fail_closed,containment_failure_rate,7.494933506775309e-05,1.8504429656815563e-05,30
0.01,0.0,redundant_fail_closed,false_block_rate,0.014736181798942753,0.00017764880151963726,30
0.01,0.0,redundant_fail_closed,benign_success_rate,0.9852638182010574,0.0001776488015196372,30
0.01,0.0,single_source,containment_failure_rate,0.008202099082688197,0.00020807023680589976,30
0.01,0.0,single_source,false_block_rate,0.007361960678728682,0.00013487436618120046,30
0.01,0.0,single_source,benign_success_rate,0.9926380393212714,0.00013487436618120005,30
0.01,0.0,three_source_diverse,containment_failure_rate,0.0002400967606602536,3.276580922126319e-05,30
0.01,0.0,three_source_diverse,false_block_rate,0.0004539604143333518,2.8883750561293616e-05,30
0.01,0.0,three_source_diverse,benign_success_rate,0.9995460395856667,2.888375056129676e-05,30
0.01,0.25,correlation_aware,containment_failure_rate,0.00014847562744715794,2.7935979123174363e-05,30
0.01,0.25,correlation_aware,false_block_rate,0.00946095391179944,0.0001516927901447008,30
0.01,0.25,correlation_aware,benign_success_rate,0.9905390460882005,0.00015169279014469927,30
0.01,0.25,redundant_fail_closed,containment_failure_rate,0.00209582941534185,0.00010126684156810127,30
0.01,0.25,redundant_fail_closed,false_block_rate,0.012959199163227962,0.00015778172587408305,30
0.01,0.25,redundant_fail_closed,benign_success_rate,0.9870408008367719,0.00015778172587408126,30
0.01,0.25,single_source,containment_failure_rate,0.008204696293781615,0.0002186142233770393,30
0.01,0.25,single_source,false_block_rate,0.007463908370438445,0.00012778730571530496,30
0.01,0.25,single_source,benign_success_rate,0.9925360916295617,0.00012778730571530314,30
0.01,0.25,three_source_diverse,containment_failure_rate,0.00222770287497717,0.00010860979632634206,30
0.01,0.25,three_source_diverse,false_block_rate,0.0022360509203461316,7.58469646583469e-05,30
0.01,0.25,three_source_diverse,benign_success_rate,0.9977639490796537,7.584696465834719e-05,30
0.01,0.5,correlation_aware,containment_failure_rate,0.00013423316793812826,2.7020538569992123e-05,30
0.01,0.5,correlation_aware,false_block_rate,0.011295336529100761,0.00014811447060795996,30
0.01,0.5,correlation_aware,benign_success_rate,0.9887046634708992,0.00014811447060796292,30
0.01,0.5,redundant_fail_closed,containment_failure_rate,0.004170058627032696,0.0001540893665029015,30
0.01,0.5,redundant_fail_closed,false_block_rate,0.011204169399007268,0.00013177325177624968,30
0.01,0.5,redundant_fail_closed,benign_success_rate,0.9887958306009927,0.00013177325177624784,30
0.01,0.5,single_source,containment_failure_rate,0.008256979023468227,0.00020948138077704368,30
0.01,0.5,single_source,false_block_rate,0.007527429973871524,0.00010456654629774099,30
0.01,0.5,single_source,benign_success_rate,0.9924725700261283,0.00010456654629774112,30
0.01,0.5,three_source_diverse,containment_failure_rate,0.004266305624221446,0.00015903685443719888,30
0.01,0.5,three_source_diverse,false_block_rate,0.004022268991860448,8.532735028861157e-05,30
0.01,0.5,three_source_diverse,benign_success_rate,0.9959777310081395,8.53273502886111e-05,30
0.01,0.75,correlation_aware,containment_failure_rate,0.00010331257309604987,2.4107391383794438e-05,30
0.01,0.75,correlation_aware,false_block_rate,0.013140311645647532,0.00015394505442199814,30
0.01,0.75,correlation_aware,benign_success_rate,0.9868596883543522,0.00015394505442199773,30
0.01,0.75,redundant_fail_closed,containment_failure_rate,0.0061529342276815625,0.00019216185458739848,30
0.01,0.75,redundant_fail_closed,false_block_rate,0.009449533061660362,0.00014360284201787418,30
0.01,0.75,redundant_fail_closed,benign_success_rate,0.9905504669383396,0.00014360284201787364,30
0.01,0.75,single_source,containment_failure_rate,0.008203303173430859,0.00022831116952372774,30
0.01,0.75,single_source,false_block_rate,0.007604857696608609,0.00012266377534214312,30
0.01,0.75,single_source,benign_success_rate,0.9923951423033913,0.00012266377534213984,30
0.01,0.75,three_source_diverse,containment_failure_rate,0.006198080710948784,0.0001933095562251646,30
0.01,0.75,three_source_diverse,false_block_rate,0.0058334311250066535,0.00010971578636633853,30
0.01,0.75,three_source_diverse,benign_success_rate,0.9941665688749931,0.00010971578636633876,30
0.01,1.0,correlation_aware,containment_failure_rate,7.957845067074647e-05,2.1771203305601943e-05,30
0.01,1.0,correlation_aware,false_block_rate,0.014947811374870668,0.00017242867852883663,30
0.01,1.0,correlation_aware,benign_success_rate,0.9850521886251292,0.00017242867852883256,30
0.01,1.0,redundant_fail_closed,containment_failure_rate,0.00818329498095009,0.0002349060844458603,30
0.01,1.0,redundant_fail_closed,false_block_rate,0.007589502985334417,0.00012831018345085503,30
0.01,1.0,redundant_fail_closed,benign_success_rate,0.9924104970146657,0.000128310183450855,30
0.01,1.0,single_source,containment_failure_rate,0.00818329498095009,0.0002349060844458603,30
0.01,1.0,single_source,false_block_rate,0.007589502985334417,0.00012831018345085503,30
0.01,1.0,single_source,benign_success_rate,0.9924104970146657,0.000128310183450855,30
0.01,1.0,three_source_diverse,containment_failure_rate,0.00818329498095009,0.0002349060844458603,30
0.01,1.0,three_source_diverse,false_block_rate,0.007589502985334417,0.00012831018345085503,30
0.01,1.0,three_source_diverse,benign_success_rate,0.9924104970146657,0.000128310183450855,30
0.05,0.0,correlation_aware,containment_failure_rate,0.0035564493683257242,0.00011853995114042498,30
0.05,0.0,correlation_aware,false_block_rate,0.03974193694743184,0.0002970175061439677,30
0.05,0.0,correlation_aware,benign_success_rate,0.9602580630525683,0.0002970175061439666,30
0.05,0.0,redundant_fail_closed,containment_failure_rate,0.001871256025508511,9.046141496520265e-05,30
