hidden_fraction,protocol,tpr_mean,tpr_ci95_halfwidth,fpr_mean,known_tpr_mean,hidden_tpr_mean
0.0,single_m1,0.5901644444444445,0.0013550956223943261,0.1,0.5901644444444445,nan
0.0,algorithm_diverse,0.9459744444444445,0.0006307420550093584,0.1,0.9459744444444445,nan
0.0,evidence_diverse,0.7745177777777777,0.0015967046239445811,0.1,0.7745177777777777,nan
0.1,single_m1,0.5417533333333333,0.0011710524619366622,0.1,0.5899716049382716,0.10778888888888889
0.1,algorithm_diverse,0.8630744444444445,0.0007260812199155177,0.1,0.9462185185185186,0.11477777777777778
0.1,evidence_diverse,0.7948655555555556,0.0015624345472254398,0.1,0.774646913580247,0.9768333333333333
0.25,single_m1,0.46999,0.001144763121319686,0.1,0.5905911111111111,0.10818666666666667
0.25,algorithm_diverse,0.73797,0.0006760190384768325,0.1,0.9457837037037037,0.11452888888888889
0.25,evidence_diverse,0.8248755555555556,0.0013628720795508457,0.1,0.7744237037037037,0.9762311111111112
0.5,single_m1,0.3490211111111111,0.0012603819915735232,0.1,0.5896222222222223,0.10842
0.5,algorithm_diverse,0.5303122222222222,0.0007549730839777405,0.1,0.9460044444444444,0.11462
0.5,evidence_diverse,0.8750177777777778,0.0009932016981530698,0.1,0.7734022222222222,0.9766333333333334
0.75,single_m1,0.22872,0.0009102931454349188,0.1,0.5885511111111111,0.1087762962962963
0.75,algorithm_diverse,0.32254,0.0007724973031484628,0.1,0.9462311111111111,0.11464296296296296
0.75,evidence_diverse,0.9260955555555556,0.0007453079310356952,0.1,0.7748,0.9765274074074074
1.0,single_m1,0.10897333333333334,0.0008362197304835998,0.1,nan,0.10897333333333334
1.0,algorithm_diverse,0.11424555555555556,0.0008824545368675622,0.1,nan,0.11424555555555556
1.0,evidence_diverse,0.9765411111111111,0.0003172596436114322,0.1,nan,0.9765411111111111
