delay_steps,protocol,failure_mean_percent,false_block_mean_percent
0,cached_verdict,0.000,0.000
0,freshness_bounded,0.000,0.000
0,use_time_revalidation,0.000,0.000
1,cached_verdict,3.740,0.630
1,freshness_bounded,3.740,0.630
1,use_time_revalidation,0.000,0.000
2,cached_verdict,7.120,1.233
2,freshness_bounded,7.120,1.233
2,use_time_revalidation,0.000,0.000
4,cached_verdict,12.893,2.349
4,freshness_bounded,0.000,0.000
4,use_time_revalidation,0.000,0.000
8,cached_verdict,21.671,4.228
8,freshness_bounded,0.000,0.000
8,use_time_revalidation,0.000,0.000
16,cached_verdict,32.537,6.905
16,freshness_bounded,0.000,0.000
16,use_time_revalidation,0.000,0.000
