volatility,delay_steps,seed,approval_expiry_rate,fixed_window_verdict_age,fixed_window_revalidation_count,progressive_revalidation_count,adaptive_window_size,volatility_level
0.005,0,0,0.0,0,0,0,1,0.005
0.005,0,1,0.0,0,0,0,1,0.005
0.005,0,2,0.0,0,0,0,1,0.005
0.005,0,3,0.0,0,0,0,1,0.005
0.005,0,4,0.0,0,0,0,1,0.005
0.005,0,5,0.0,0,0,0,1,0.005
0.005,0,6,0.0,0,0,0,1,0.005
0.005,0,7,0.0,0,0,0,1,0.005
0.005,0,8,0.0,0,0,0,1,0.005
0.005,0,9,0.0,0,0,0,1,0.005
0.005,0,10,0.0,0,0,0,1,0.005
0.005,0,11,0.0,0,0,0,1,0.005
0.005,0,12,0.0,0,0,0,1,0.005
0.005,0,13,0.0,0,0,0,1,0.005
0.005,0,14,0.0,0,0,0,1,0.005
0.005,0,15,0.0,0,0,0,1,0.005
0.005,0,16,0.0,0,0,0,1,0.005
0.005,0,17,0.0,0,0,0,1,0.005
0.005,0,18,0.0,0,0,0,1,0.005
0.005,0,19,0.0,0,0,0,1,0.005
0.005,0,20,0.0,0,0,0,1,0.005
0.005,0,21,0.0,0,0,0,1,0.005
0.005,0,22,0.0,0,0,0,1,0.005
0.005,0,23,0.0,0,0,0,1,0.005
0.005,0,24,0.0,0,0,0,1,0.005
0.005,0,25,0.0,0,0,0,1,0.005
0.005,0,26,0.0,0,0,0,1,0.005
0.005,0,27,0.0,0,0,0,1,0.005
0.005,0,28,0.0,0,0,0,1,0.005
0.005,0,29,0.0,0,0,0,1,0.005
0.005,1,0,0.003780140365506219,1,0,0,1,0.005
0.005,1,1,0.003787878787878788,1,0,0,1,0.005
0.005,1,2,0.0036087501741674795,1,0,0,1,0.005
0.005,1,3,0.00350306518203428,1,0,0,1,0.005
0.005,1,4,0.003436234888218027,1,0,0,1,0.005
0.005,1,5,0.0033577067695253426,1,0,0,1,0.005
0.005,1,6,0.0035432414406402846,1,0,0,1,0.005
0.005,1,7,0.0036785709309292572,1,0,0,1,0.005
0.005,1,8,0.004345411634041372,1,0,0,1,0.005
0.005,1,9,0.0037482820373995252,1,0,0,1,0.005
0.005,1,10,0.0037632474611915107,1,0,0,1,0.005
0.005,1,11,0.0034179958872895015,1,0,0,1,0.005
0.005,1,12,0.0035335689045936395,1,0,0,1,0.005
0.005,1,13,0.004373441787261306,1,0,0,1,0.005
0.005,1,14,0.003487758107995442,1,0,0,1,0.005
0.005,1,15,0.003996880483525054,1,0,0,1,0.005
0.005,1,16,0.0040315318435599394,1,0,0,1,0.005
0.005,1,17,0.0036417719583559205,1,0,0,1,0.005
0.005,1,18,0.003949326250504095,1,0,0,1,0.005
0.005,1,19,0.0037300400944384683,1,0,0,1,0.005
0.005,1,20,0.0037482820373995252,1,0,0,1,0.005
0.005,1,21,0.0037326894790886134,1,0,0,1,0.005
0.005,1,22,0.003717058094694491,1,0,0,1,0.005
0.005,1,23,0.0040627296551532886,1,0,0,1,0.005
0.005,1,24,0.0037994767021098923,1,0,0,1,0.005
0.005,1,25,0.003869303525365434,1,0,0,1,0.005
0.005,1,26,0.003441003441003441,1,0,0,1,0.005
0.005,1,27,0.0038120850025644935,1,0,0,1,0.005
0.005,1,28,0.0037901927028377853,1,0,0,1,0.005
0.005,1,29,0.0032782786259011793,1,0,0,1,0.005
0.005,2,0,0.007601973455631992,2,0,1,1,0.005
0.005,2,1,0.007826426024955436,2,0,1,1,0.005
0.005,2,2,0.007119966559843946,2,0,1,1,0.005
0.005,2,3,0.007089536677926519,2,0,1,1,0.005
0.005,2,4,0.007150707419206745,2,0,1,1,0.005
0.005,2,5,0.0069790351449225095,2,0,1,1,0.005
0.005,2,6,0.007281013783903958,2,0,1,1,0.005
0.005,2,7,0.007217802053868769,2,0,1,1,0.005
0.005,2,8,0.008038317367763432,2,0,1,1,0.005
0.005,2,9,0.007677036913636805,2,0,1,1,0.005
0.005,2,10,0.007830875231744099,2,0,1,1,0.005
0.005,2,11,0.006697048852331462,2,0,1,1,0.005
0.005,2,12,0.007234078072396427,2,0,1,1,0.005
0.005,2,13,0.00800869117094029,2,0,1,1,0.005
0.005,2,14,0.007044993469138204,2,0,1,1,0.005
0.005,2,15,0.00767345347185472,2,0,1,1,0.005
0.005,2,16,0.007855252767348749,2,0,1,1,0.005
0.005,2,17,0.007422542846420082,2,0,1,1,0.005
0.005,2,18,0.00789865250100819,2,0,1,1,0.005
0.005,2,19,0.007557871502214274,2,0,1,1,0.005
0.005,2,20,0.007246678605639082,2,0,1,1,0.005
0.005,2,21,0.007756778508589348,2,0,1,1,0.005
0.005,2,22,0.007113920173741142,2,0,1,1,0.005
0.005,2,23,0.007681748221689153,2,0,1,1,0.005
0.005,2,24,0.007557200912987809,2,0,1,1,0.005
0.005,2,25,0.0070729204227110085,2,0,1,1,0.005
0.005,2,26,0.007464757464757465,2,0,1,1,0.005
0.005,2,27,0.007540997241436671,2,0,1,1,0.005
0.005,2,28,0.0073999000388737714,2,0,1,1,0.005
0.005,2,29,0.006889941518843157,2,0,1,1,0.005
0.005,4,0,0.014717531790702523,1,1,2,1,0.005
0.005,4,1,0.014636252228163994,1,1,2,1,0.005
0.005,4,2,0.014225999721332034,1,1,2,1,0.005
0.005,4,3,0.01484632386671671,1,1,2,1,0.005
0.005,4,4,0.014524004952630041,1,1,2,1,0.005
0.005,4,5,0.014318815645248567,1,1,2,1,0.005
0.005,4,6,0.0148260337927968,1,1,2,1,0.005
0.005,4,7,0.01440773614613959,1,1,2,1,0.005
0.005,4,8,0.014438428432597529,1,1,2,1,0.005
0.005,4,9,0.01478489025863146,1,1,2,1,0.005
0.005,4,10,0.014665596723761033,1,1,2,1,0.005
0.005,4,11,0.01361640638025899,1,1,2,1,0.005
0.005,4,12,0.014495979521994379,1,1,2,1,0.005
0.005,4,13,0.014777776230204605,1,1,2,1,0.005
0.005,4,14,0.014465164105271934,1,1,2,1,0.005
0.005,4,15,0.014761997604656992,1,1,2,1,0.005
0.005,4,16,0.015225613388564858,1,1,2,1,0.005
0.005,4,17,0.014733886549073573,1,1,2,1,0.005
0.005,4,18,0.015338404416570483,1,1,2,1,0.005
0.005,4,19,0.015003981503471592,1,1,2,1,0.005
0.005,4,20,0.014174059111795983,1,1,2,1,0.005
0.005,4,21,0.014791996225682013,1,1,2,1,0.005
0.005,4,22,0.014701173588005179,1,1,2,1,0.005
0.005,4,23,0.015418960329455483,1,1,2,1,0.005
0.005,4,24,0.01484996938150643,1,1,2,1,0.005
0.005,4,25,0.01421518320250742,1,1,2,1,0.005
0.005,4,26,0.01461038961038961,1,1,2,1,0.005
0.005,4,27,0.014541371518873285,1,1,2,1,0.005
0.005,4,28,0.014466596323651913,1,1,2,1,0.005
0.005,4,29,0.013835447082193112,1,1,2,1,0.005
0.005,8,0,0.028100896393579322,2,2,4,1,0.005
0.005,8,1,0.028548351158645277,2,2,4,1,0.005
0.005,8,2,0.028312665459105477,2,2,4,1,0.005
0.005,8,3,0.028844683542544172,2,2,4,1,0.005
0.005,8,4,0.028477622737580168,2,2,4,1,0.005
0.005,8,5,0.028609881647773786,2,2,4,1,0.005
0.005,8,6,0.028818363717207647,2,2,4,1,0.005
0.005,8,7,0.029108085889057646,2,2,4,1,0.005
0.005,8,8,0.028113286130778844,2,2,4,1,0.005
0.005,8,9,0.028139880332625326,2,2,4,1,0.005
0.005,8,10,0.028390381582224188,2,2,4,1,0.005
0.005,8,11,0.026232423720335685,2,2,4,1,0.005
0.005,8,12,0.02846331487715979,2,2,4,1,0.005
0.005,8,13,0.028928785325292142,2,2,4,1,0.005
0.005,8,14,0.028888641858655476,2,2,4,1,0.005
0.005,8,15,0.028521293485224076,2,2,4,1,0.005
0.005,8,16,0.028470096008644936,2,2,4,1,0.005
0.005,8,17,0.02843918101830616,2,2,4,1,0.005
0.005,8,18,0.028410118062605166,2,2,4,1,0.005
0.005,8,19,0.02908593062404828,2,2,4,1,0.005
0.005,8,20,0.027584579290047616,2,2,4,1,0.005
