volatility,delay_steps,seed,protocol,containment_failure_rate,false_block_rate,benign_success_rate
0.005,0,0,cached_verdict,0.0,0.0,1.0
0.005,0,0,use_time_revalidation,0.0,0.0,1.0
0.005,0,0,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,0,adaptive_cached,0.0,0.0,1.0
0.005,0,0,progressive_refresh,0.0,0.0,1.0
0.005,0,1,cached_verdict,0.0,0.0,1.0
0.005,0,1,use_time_revalidation,0.0,0.0,1.0
0.005,0,1,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,1,adaptive_cached,0.0,0.0,1.0
0.005,0,1,progressive_refresh,0.0,0.0,1.0
0.005,0,2,cached_verdict,0.0,0.0,1.0
0.005,0,2,use_time_revalidation,0.0,0.0,1.0
0.005,0,2,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,2,adaptive_cached,0.0,0.0,1.0
0.005,0,2,progressive_refresh,0.0,0.0,1.0
0.005,0,3,cached_verdict,0.0,0.0,1.0
0.005,0,3,use_time_revalidation,0.0,0.0,1.0
0.005,0,3,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,3,adaptive_cached,0.0,0.0,1.0
0.005,0,3,progressive_refresh,0.0,0.0,1.0
0.005,0,4,cached_verdict,0.0,0.0,1.0
0.005,0,4,use_time_revalidation,0.0,0.0,1.0
0.005,0,4,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,4,adaptive_cached,0.0,0.0,1.0
0.005,0,4,progressive_refresh,0.0,0.0,1.0
0.005,0,5,cached_verdict,0.0,0.0,1.0
0.005,0,5,use_time_revalidation,0.0,0.0,1.0
0.005,0,5,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,5,adaptive_cached,0.0,0.0,1.0
0.005,0,5,progressive_refresh,0.0,0.0,1.0
0.005,0,6,cached_verdict,0.0,0.0,1.0
0.005,0,6,use_time_revalidation,0.0,0.0,1.0
0.005,0,6,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,6,adaptive_cached,0.0,0.0,1.0
0.005,0,6,progressive_refresh,0.0,0.0,1.0
0.005,0,7,cached_verdict,0.0,0.0,1.0
0.005,0,7,use_time_revalidation,0.0,0.0,1.0
0.005,0,7,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,7,adaptive_cached,0.0,0.0,1.0
0.005,0,7,progressive_refresh,0.0,0.0,1.0
0.005,0,8,cached_verdict,0.0,0.0,1.0
0.005,0,8,use_time_revalidation,0.0,0.0,1.0
0.005,0,8,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,8,adaptive_cached,0.0,0.0,1.0
0.005,0,8,progressive_refresh,0.0,0.0,1.0
0.005,0,9,cached_verdict,0.0,0.0,1.0
0.005,0,9,use_time_revalidation,0.0,0.0,1.0
0.005,0,9,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,9,adaptive_cached,0.0,0.0,1.0
0.005,0,9,progressive_refresh,0.0,0.0,1.0
0.005,0,10,cached_verdict,0.0,0.0,1.0
0.005,0,10,use_time_revalidation,0.0,0.0,1.0
0.005,0,10,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,10,adaptive_cached,0.0,0.0,1.0
0.005,0,10,progressive_refresh,0.0,0.0,1.0
0.005,0,11,cached_verdict,0.0,0.0,1.0
0.005,0,11,use_time_revalidation,0.0,0.0,1.0
0.005,0,11,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,11,adaptive_cached,0.0,0.0,1.0
0.005,0,11,progressive_refresh,0.0,0.0,1.0
0.005,0,12,cached_verdict,0.0,0.0,1.0
0.005,0,12,use_time_revalidation,0.0,0.0,1.0
0.005,0,12,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,12,adaptive_cached,0.0,0.0,1.0
0.005,0,12,progressive_refresh,0.0,0.0,1.0
0.005,0,13,cached_verdict,0.0,0.0,1.0
0.005,0,13,use_time_revalidation,0.0,0.0,1.0
0.005,0,13,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,13,adaptive_cached,0.0,0.0,1.0
0.005,0,13,progressive_refresh,0.0,0.0,1.0
0.005,0,14,cached_verdict,0.0,0.0,1.0
0.005,0,14,use_time_revalidation,0.0,0.0,1.0
0.005,0,14,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,14,adaptive_cached,0.0,0.0,1.0
0.005,0,14,progressive_refresh,0.0,0.0,1.0
0.005,0,15,cached_verdict,0.0,0.0,1.0
0.005,0,15,use_time_revalidation,0.0,0.0,1.0
0.005,0,15,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,15,adaptive_cached,0.0,0.0,1.0
0.005,0,15,progressive_refresh,0.0,0.0,1.0
0.005,0,16,cached_verdict,0.0,0.0,1.0
0.005,0,16,use_time_revalidation,0.0,0.0,1.0
0.005,0,16,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,16,adaptive_cached,0.0,0.0,1.0
0.005,0,16,progressive_refresh,0.0,0.0,1.0
0.005,0,17,cached_verdict,0.0,0.0,1.0
0.005,0,17,use_time_revalidation,0.0,0.0,1.0
0.005,0,17,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,17,adaptive_cached,0.0,0.0,1.0
0.005,0,17,progressive_refresh,0.0,0.0,1.0
0.005,0,18,cached_verdict,0.0,0.0,1.0
0.005,0,18,use_time_revalidation,0.0,0.0,1.0
0.005,0,18,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,18,adaptive_cached,0.0,0.0,1.0
0.005,0,18,progressive_refresh,0.0,0.0,1.0
0.005,0,19,cached_verdict,0.0,0.0,1.0
0.005,0,19,use_time_revalidation,0.0,0.0,1.0
0.005,0,19,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,19,adaptive_cached,0.0,0.0,1.0
0.005,0,19,progressive_refresh,0.0,0.0,1.0
0.005,0,20,cached_verdict,0.0,0.0,1.0
0.005,0,20,use_time_revalidation,0.0,0.0,1.0
0.005,0,20,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,20,adaptive_cached,0.0,0.0,1.0
0.005,0,20,progressive_refresh,0.0,0.0,1.0
0.005,0,21,cached_verdict,0.0,0.0,1.0
0.005,0,21,use_time_revalidation,0.0,0.0,1.0
0.005,0,21,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,21,adaptive_cached,0.0,0.0,1.0
0.005,0,21,progressive_refresh,0.0,0.0,1.0
0.005,0,22,cached_verdict,0.0,0.0,1.0
0.005,0,22,use_time_revalidation,0.0,0.0,1.0
0.005,0,22,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,22,adaptive_cached,0.0,0.0,1.0
0.005,0,22,progressive_refresh,0.0,0.0,1.0
0.005,0,23,cached_verdict,0.0,0.0,1.0
0.005,0,23,use_time_revalidation,0.0,0.0,1.0
0.005,0,23,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,23,adaptive_cached,0.0,0.0,1.0
0.005,0,23,progressive_refresh,0.0,0.0,1.0
0.005,0,24,cached_verdict,0.0,0.0,1.0
0.005,0,24,use_time_revalidation,0.0,0.0,1.0
0.005,0,24,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,24,adaptive_cached,0.0,0.0,1.0
0.005,0,24,progressive_refresh,0.0,0.0,1.0
0.005,0,25,cached_verdict,0.0,0.0,1.0
0.005,0,25,use_time_revalidation,0.0,0.0,1.0
0.005,0,25,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,25,adaptive_cached,0.0,0.0,1.0
0.005,0,25,progressive_refresh,0.0,0.0,1.0
0.005,0,26,cached_verdict,0.0,0.0,1.0
0.005,0,26,use_time_revalidation,0.0,0.0,1.0
0.005,0,26,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,26,adaptive_cached,0.0,0.0,1.0
0.005,0,26,progressive_refresh,0.0,0.0,1.0
0.005,0,27,cached_verdict,0.0,0.0,1.0
0.005,0,27,use_time_revalidation,0.0,0.0,1.0
0.005,0,27,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,27,adaptive_cached,0.0,0.0,1.0
0.005,0,27,progressive_refresh,0.0,0.0,1.0
0.005,0,28,cached_verdict,0.0,0.0,1.0
0.005,0,28,use_time_revalidation,0.0,0.0,1.0
0.005,0,28,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,28,adaptive_cached,0.0,0.0,1.0
0.005,0,28,progressive_refresh,0.0,0.0,1.0
0.005,0,29,cached_verdict,0.0,0.0,1.0
0.005,0,29,use_time_revalidation,0.0,0.0,1.0
0.005,0,29,fixed_window_revalidation,0.0,0.0,1.0
0.005,0,29,adaptive_cached,0.0,0.0,1.0
0.005,0,29,progressive_refresh,0.0,0.0,1.0
0.005,1,0,cached_verdict,0.009635139922068721,0.0012122056569597325,0.9987877943430402
0.005,1,0,use_time_revalidation,0.0,0.0,1.0
0.005,1,0,fixed_window_revalidation,0.009635139922068721,0.0012122056569597325,0.9987877943430402
0.005,1,0,adaptive_cached,0.0,0.0,1.0
0.005,1,0,progressive_refresh,0.009635139922068721,0.0012122056569597325,0.9987877943430402
0.005,1,1,cached_verdict,0.009594017847694966,0.0015771329676617957,0.9984228670323382
0.005,1,1,use_time_revalidation,0.0,0.0,1.0
0.005,1,1,fixed_window_revalidation,0.009594017847694966,0.0015771329676617957,0.9984228670323382
0.005,1,1,adaptive_cached,0.0,0.0,1.0
0.005,1,1,progressive_refresh,0.009594017847694966,0.0015771329676617957,0.9984228670323382
0.005,1,2,cached_verdict,0.009127109983437291,0.001563743490219622,0.9984362565097804
0.005,1,2,use_time_revalidation,0.0,0.0,1.0
0.005,1,2,fixed_window_revalidation,0.009127109983437291,0.001563743490219622,0.9984362565097804
0.005,1,2,adaptive_cached,0.0,0.0,1.0
0.005,1,2,progressive_refresh,0.009127109983437291,0.001563743490219622,0.9984362565097804
0.005,1,3,cached_verdict,0.008938071930197914,0.0016850959529844303,0.9983149040470156
0.005,1,3,use_time_revalidation,0.0,0.0,1.0
0.005,1,3,fixed_window_revalidation,0.008938071930197914,0.0016850959529844303,0.9983149040470156
0.005,1,3,adaptive_cached,0.0,0.0,1.0
0.005,1,3,progressive_refresh,0.008938071930197914,0.0016850959529844303,0.9983149040470156
0.005,1,4,cached_verdict,0.008743981874822997,0.0016445534619244063,0.9983554465380756
0.005,1,4,use_time_revalidation,0.0,0.0,1.0
0.005,1,4,fixed_window_revalidation,0.008743981874822997,0.0016445534619244063,0.9983554465380756
0.005,1,4,adaptive_cached,0.0,0.0,1.0
0.005,1,4,progressive_refresh,0.008743981874822997,0.0016445534619244063,0.9983554465380756
0.005,1,5,cached_verdict,0.00862406899255194,0.0015012719109245333,0.9984987280890755
0.005,1,5,use_time_revalidation,0.0,0.0,1.0
0.005,1,5,fixed_window_revalidation,0.00862406899255194,0.0015012719109245333,0.9984987280890755
0.005,1,5,adaptive_cached,0.0,0.0,1.0
0.005,1,5,progressive_refresh,0.00862406899255194,0.0015012719109245333,0.9984987280890755
0.005,1,6,cached_verdict,0.009044798354201397,0.0013090645758770036,0.998690935424123
0.005,1,6,use_time_revalidation,0.0,0.0,1.0
0.005,1,6,fixed_window_revalidation,0.009044798354201397,0.0013090645758770036,0.998690935424123
0.005,1,6,adaptive_cached,0.0,0.0,1.0
0.005,1,6,progressive_refresh,0.009044798354201397,0.0013090645758770036,0.998690935424123
0.005,1,7,cached_verdict,0.009303636876233437,0.0016893778621691054,0.998310622137831
0.005,1,7,use_time_revalidation,0.0,0.0,1.0
0.005,1,7,fixed_window_revalidation,0.009303636876233437,0.0016893778621691054,0.998310622137831
0.005,1,7,adaptive_cached,0.0,0.0,1.0
0.005,1,7,progressive_refresh,0.009303636876233437,0.0016893778621691054,0.998310622137831
0.005,1,8,cached_verdict,0.011111111111111112,0.001573158847278296,0.9984268411527217
0.005,1,8,use_time_revalidation,0.0,0.0,1.0
0.005,1,8,fixed_window_revalidation,0.011111111111111112,0.001573158847278296,0.9984268411527217
0.005,1,8,adaptive_cached,0.0,0.0,1.0
0.005,1,8,progressive_refresh,0.011111111111111112,0.001573158847278296,0.9984268411527217
0.005,1,9,cached_verdict,0.009598293636686812,0.001488799220815361,0.9985112007791846
0.005,1,9,use_time_revalidation,0.0,0.0,1.0
0.005,1,9,fixed_window_revalidation,0.009598293636686812,0.001488799220815361,0.9985112007791846
0.005,1,9,adaptive_cached,0.0,0.0,1.0
0.005,1,9,progressive_refresh,0.009598293636686812,0.001488799220815361,0.9985112007791846
0.005,1,10,cached_verdict,0.00975819760350147,0.0016637550952499792,0.99833624490475
0.005,1,10,use_time_revalidation,0.0,0.0,1.0
0.005,1,10,fixed_window_revalidation,0.00975819760350147,0.0016637550952499792,0.99833624490475
0.005,1,10,adaptive_cached,0.0,0.0,1.0
0.005,1,10,progressive_refresh,0.00975819760350147,0.0016637550952499792,0.99833624490475
0.005,1,11,cached_verdict,0.00873269435569755,0.0014478630098844493,0.9985521369901156
0.005,1,11,use_time_revalidation,0.0,0.0,1.0
0.005,1,11,fixed_window_revalidation,0.00873269435569755,0.0014478630098844493,0.9985521369901156
0.005,1,11,adaptive_cached,0.0,0.0,1.0
0.005,1,11,progressive_refresh,0.00873269435569755,0.0014478630098844493,0.9985521369901156
0.005,1,12,cached_verdict,0.008987650826226956,0.0015472755405009828,0.9984527244594991
0.005,1,12,use_time_revalidation,0.0,0.0,1.0
0.005,1,12,fixed_window_revalidation,0.008987650826226956,0.0015472755405009828,0.9984527244594991
0.005,1,12,adaptive_cached,0.0,0.0,1.0
0.005,1,12,progressive_refresh,0.008987650826226956,0.0015472755405009828,0.9984527244594991
0.005,1,13,cached_verdict,0.011059453367145675,0.0017456150150821138,0.9982543849849179
0.005,1,13,use_time_revalidation,0.0,0.0,1.0
0.005,1,13,fixed_window_revalidation,0.011059453367145675,0.0017456150150821138,0.9982543849849179
0.005,1,13,adaptive_cached,0.0,0.0,1.0
0.005,1,13,progressive_refresh,0.011059453367145675,0.0017456150150821138,0.9982543849849179
0.005,1,14,cached_verdict,0.008903550778617288,0.0013090281162528375,0.9986909718837471
0.005,1,14,use_time_revalidation,0.0,0.0,1.0
0.005,1,14,fixed_window_revalidation,0.008903550778617288,0.0013090281162528375,0.9986909718837471
0.005,1,14,adaptive_cached,0.0,0.0,1.0
0.005,1,14,progressive_refresh,0.008903550778617288,0.0013090281162528375,0.9986909718837471
0.005,1,15,cached_verdict,0.01012024401424592,0.0017029354699124803,0.9982970645300875
0.005,1,15,use_time_revalidation,0.0,0.0,1.0
0.005,1,15,fixed_window_revalidation,0.01012024401424592,0.0017029354699124803,0.9982970645300875
0.005,1,15,adaptive_cached,0.0,0.0,1.0
0.005,1,15,progressive_refresh,0.01012024401424592,0.0017029354699124803,0.9982970645300875
0.005,1,16,cached_verdict,0.01038692175899486,0.0013058457434985552,0.9986941542565014
0.005,1,16,use_time_revalidation,0.0,0.0,1.0
0.005,1,16,fixed_window_revalidation,0.01038692175899486,0.0013058457434985552,0.9986941542565014
0.005,1,16,adaptive_cached,0.0,0.0,1.0
0.005,1,16,progressive_refresh,0.01038692175899486,0.0013058457434985552,0.9986941542565014
0.005,1,17,cached_verdict,0.009286828300014179,0.001490499804981334,0.9985095001950187
0.005,1,17,use_time_revalidation,0.0,0.0,1.0
0.005,1,17,fixed_window_revalidation,0.009286828300014179,0.001490499804981334,0.9985095001950187
0.005,1,17,adaptive_cached,0.0,0.0,1.0
0.005,1,17,progressive_refresh,0.009286828300014179,0.001490499804981334,0.9985095001950187
0.005,1,18,cached_verdict,0.010055945046384816,0.001825580423088715,0.9981744195769113
0.005,1,18,use_time_revalidation,0.0,0.0,1.0
0.005,1,18,fixed_window_revalidation,0.010055945046384816,0.001825580423088715,0.9981744195769113
0.005,1,18,adaptive_cached,0.0,0.0,1.0
0.005,1,18,progressive_refresh,0.010055945046384816,0.001825580423088715,0.9981744195769113
0.005,1,19,cached_verdict,0.009345140177102657,0.0016099903400579596,0.9983900096599421
0.005,1,19,use_time_revalidation,0.0,0.0,1.0
0.005,1,19,fixed_window_revalidation,0.009345140177102657,0.0016099903400579596,0.9983900096599421
0.005,1,19,adaptive_cached,0.0,0.0,1.0
0.005,1,19,progressive_refresh,0.009345140177102657,0.0016099903400579596,0.9983900096599421
0.005,1,20,cached_verdict,0.009598634860819794,0.001502692323746713,0.9984973076762533
0.005,1,20,use_time_revalidation,0.0,0.0,1.0
0.005,1,20,fixed_window_revalidation,0.009598634860819794,0.001502692323746713,0.9984973076762533
0.005,1,20,adaptive_cached,0.0,0.0,1.0
0.005,1,20,progressive_refresh,0.009598634860819794,0.001502692323746713,0.9984973076762533
0.005,1,21,cached_verdict,0.009574657412350952,0.0015019817815172798,0.9984980182184827
0.005,1,21,use_time_revalidation,0.0,0.0,1.0
0.005,1,21,fixed_window_revalidation,0.009574657412350952,0.0015019817815172798,0.9984980182184827
0.005,1,21,adaptive_cached,0.0,0.0,1.0
0.005,1,21,progressive_refresh,0.009574657412350952,0.0015019817815172798,0.9984980182184827
0.005,1,22,cached_verdict,0.009431629517114699,0.0017714915400817398,0.9982285084599183
0.005,1,22,use_time_revalidation,0.0,0.0,1.0
0.005,1,22,fixed_window_revalidation,0.009431629517114699,0.0017714915400817398,0.9982285084599183
0.005,1,22,adaptive_cached,0.0,0.0,1.0
0.005,1,22,progressive_refresh,0.009431629517114699,0.0017714915400817398,0.9982285084599183
0.005,1,23,cached_verdict,0.01044116598959447,0.0015568962161861602,0.9984431037838138
0.005,1,23,use_time_revalidation,0.0,0.0,1.0
0.005,1,23,fixed_window_revalidation,0.01044116598959447,0.0015568962161861602,0.9984431037838138
0.005,1,23,adaptive_cached,0.0,0.0,1.0
0.005,1,23,progressive_refresh,0.01044116598959447,0.0015568962161861602,0.9984431037838138
