scenario,effects,unauthorized,duplicate,response_type,uncertain,wrong_rejection,b2_residual
adapter_exception_before_effect,0,0,0,ExecutionUncertain,True,False,
adapter_exception_after_effect,1,0,0,ExecutionUncertain,True,False,
adapter_double_failure,1,0,0,ExecutionUncertain,True,False,
slow_validator_concurrent_revoke,1,0,0,ok,False,False,
slow_adapter_concurrent_revoke,1,0,0,ok,False,False,
clock_rollback_before_claim,0,0,0,Rejected,False,False,
clock_rollback_after_dispatch,1,0,0,ExecutionUncertain,True,False,
clock_rollback_tolerated_within_tolerance,1,0,0,ok,False,False,
clock_unavailable_before_claim,0,0,0,uncaught:ValueError,False,False,
unauthorized_execute_forged_token,0,0,0,Rejected,False,False,
db_copy_db_only,0,0,0,refused,False,False,
db_copy_full_snapshot,2,0,1,opened,False,False,True
db_restore_old_snapshot,1,0,1,ok,False,False,True
worker_restart_before_effect,1,0,0,ok,False,False,
worker_restart_after_effect_inprocess,0,0,0,Rejected,False,False,
worker_restart_after_effect_subprocess,0,0,0,Rejected,False,False,
benign_baseline,,,,,,,benign_success=1.0
